amount,hour,is_impulsive,category_enc
56727.0,9,0,1
234825.0,21,0,2
56703.0,22,0,1
161051.0,8,0,0
92185.0,23,0,1
324012.0,6,0,4
6189.0,3,0,5
325206.0,8,0,4
495218.0,13,0,4
60969.0,3,1,0
437716.0,20,0,4
15701.0,9,0,1
31958.0,5,0,3
61558.0,9,0,5
212715.0,4,0,2
37704.0,1,0,2
15860.0,19,0,3
47142.0,17,0,1
79150.0,18,0,1
49674.0,10,0,1
109695.0,7,0,4
49928.0,3,0,1
71283.0,13,0,1
47042.0,23,0,1
165458.0,1,1,0
29726.0,11,0,3
138167.0,11,0,0
112241.0,19,0,2
99501.0,19,0,2
313717.0,21,1,4
110273.0,10,0,1
85381.0,14,0,1
364310.0,23,1,4
106854.0,17,0,1
176113.0,12,0,2
158374.0,19,0,0
114135.0,18,0,2
397219.0,8,0,4
143493.0,11,0,4
11631.0,21,0,5
191294.0,11,0,0
20042.0,18,0,1
93357.0,8,0,1
143021.0,2,0,3
43418.0,21,0,5
67753.0,7,0,1
35314.0,3,0,5
44346.0,20,0,1
80708.0,11,0,1
383702.0,15,0,4
280414.0,2,1,4
174357.0,7,0,2
56894.0,22,0,1
35833.0,5,0,0
118582.0,21,0,2
60292.0,19,0,5
82813.0,6,0,0
347951.0,20,0,4
51830.0,14,0,3
431256.0,6,0,4
198312.0,17,0,4
241927.0,3,0,2
15567.0,9,0,1
61054.0,9,0,1
497337.0,21,1,4
25054.0,9,0,2
71749.0,11,0,1
199929.0,14,0,0
168164.0,15,0,0
171749.0,15,0,0
62197.0,21,1,0
29640.0,3,0,2
357450.0,13,0,4
96326.0,6,0,4
64619.0,23,0,1
225090.0,17,0,2
220080.0,2,1,4
49852.0,2,0,1
43612.0,11,0,1
49183.0,3,0,5
144400.0,22,0,3
442326.0,2,1,4
85325.0,12,0,2
127551.0,1,1,0
57588.0,20,0,5
38443.0,15,0,3
44448.0,15,0,3
72994.0,15,0,3
11070.0,14,0,1
62689.0,9,0,0
57748.0,22,0,1
97237.0,12,0,0
46863.0,9,0,1
258731.0,16,0,4
186158.0,1,1,0
232995.0,16,0,4
105330.0,10,0,3
82860.0,12,0,3
140530.0,20,0,3
39928.0,10,0,5
90663.0,2,0,1
94084.0,3,0,1
20215.0,9,0,1
81866.0,3,0,1
70163.0,0,0,5
58794.0,2,1,4
88684.0,18,0,1
47526.0,6,0,1
170237.0,13,0,2
60151.0,16,0,3
10615.0,21,0,1
132062.0,11,0,3
444337.0,6,0,4
88692.0,3,0,1
57809.0,10,0,3
402350.0,1,1,4
26959.0,21,0,5
68025.0,0,0,1
136375.0,8,0,3
16732.0,18,0,5
33247.0,6,0,5
166783.0,20,0,4
25864.0,20,0,0
161930.0,20,0,4
94692.0,15,0,1
75048.0,21,0,1
98518.0,9,0,1
214143.0,4,1,4
38175.0,23,0,1
39466.0,18,0,1
50775.0,15,0,1
118861.0,1,0,1
82970.0,19,0,4
58420.0,4,0,1
120436.0,19,0,2
35411.0,3,0,1
43681.0,20,0,1
200501.0,15,0,2
73677.0,4,0,1
77533.0,10,0,3
48740.0,17,0,5
124080.0,22,1,4
32348.0,0,0,1
58074.0,12,0,1
113107.0,20,0,1
187106.0,9,0,4
174533.0,17,0,0
172237.0,5,0,4
49153.0,18,0,3
199284.0,20,0,0
177254.0,18,0,2
91622.0,13,0,1
15025.0,8,0,5
19770.0,11,0,1
66422.0,9,0,1
155228.0,7,0,0
89491.0,22,0,1
340673.0,16,0,4
71484.0,10,0,2
150175.0,23,1,0
40207.0,10,0,5
71870.0,2,1,0
45613.0,18,0,5
48099.0,8,0,5
150235.0,2,0,2
43718.0,22,0,5
436521.0,2,1,4
64819.0,5,0,0
51323.0,14,0,5
462612.0,23,1,4
175385.0,12,0,0
49517.0,0,0,5
257844.0,2,0,2
38178.0,2,0,1
49034.0,17,0,5
103534.0,23,0,1
118674.0,5,0,2
10677.0,3,0,5
62062.0,2,0,1
372257.0,21,1,4
326114.0,14,0,4
429077.0,10,0,4
313131.0,3,1,4
443069.0,6,0,4
91200.0,7,0,1
61661.0,23,0,1
44037.0,17,0,3
149592.0,1,0,3
52451.0,11,0,1
55016.0,5,0,1
81248.0,14,0,1
99161.0,14,0,1
42964.0,17,0,5
316409.0,7,0,4
257724.0,1,0,2
72902.0,13,0,1
70584.0,4,1,4
164650.0,0,1,0
54062.0,4,1,0
34282.0,6,0,0
51151.0,17,0,1
147203.0,16,0,4
236793.0,17,0,2
59983.0,16,0,4
106609.0,23,0,1
107551.0,10,0,1
129211.0,18,0,4
49926.0,12,0,5
96212.0,8,0,0
147097.0,1,0,3
112083.0,23,0,1
30433.0,19,0,2
254404.0,22,1,4
54494.0,23,1,0
52752.0,12,0,5
90988.0,18,0,0
102219.0,11,0,3
93131.0,9,0,1
239762.0,8,0,4
189085.0,8,0,0
189977.0,4,1,4
65494.0,1,0,1
27649.0,6,0,5
142927.0,23,1,4
108705.0,6,0,2
229470.0,5,0,2
58868.0,7,0,5
106792.0,23,1,0
120322.0,5,0,0
493325.0,12,0,4
160268.0,19,0,4
222809.0,12,0,4
11470.0,15,0,1
134708.0,3,1,4
102484.0,18,0,0
43950.0,14,0,5
5862.0,21,0,5
173139.0,11,0,2
46518.0,5,0,3
120307.0,9,0,0
